,CustomerID,recency,frequency,monetary_value
107,14159,30600600,1212,4678.3
108,16003,29727060,103,2735.3700000000003
109,13033,1403820,11,190.54999999999998
110,13782,31202880,115,912.0
111,12402,4339380,11,225.6
112,12935,32086740,130,2156.45
113,16943,14009460,33,816.73
114,17311,25508700,55,1384.85
115,12747,32076480,103,4196.01
116,12766,31969200,310,6989.63
117,17288,31477380,142,1419.73
118,16271,32069940,134,1423.29
119,12651,3385200,9,114.00000000000003
120,13634,29394840,188,1575.1599999999999
121,14450,16683600,40,483.25
122,12559,5448180,22,536.2099999999999
123,17976,105780,65,353.18999999999994
124,12797,1151880,17,194.18
125,17251,960000,39,283.28
126,18179,31478220,90,1793.17
127,16098,24715980,67,2005.6299999999999
128,14708,32054100,29,1096.67
129,16306,13837560,44,602.2699999999999
130,16458,32058480,202,3482.7400000000007
131,12665,4234080,4,61.75
132,14715,30167040,71,867.3799999999999
133,17364,32229240,414,4455.7300000000005
134,13491,27821160,86,1215.8199999999997
135,14081,9179880,156,904.6699999999998
136,17404,31910400,201,30300.820000000003
137,14895,31625820,506,11020.260000000002
138,15864,30344760,24,1769.78
139,13941,30417420,47,4912.41
140,16161,32154240,502,5352.97
141,12683,31910700,362,8221.09
142,15998,29132340,509,3084.17
143,14657,30774060,127,838.27
144,14428,31639860,148,1230.1399999999999
145,13138,30356700,63,962.3900000000001
146,16168,31378740,99,3770.6000000000004
147,14667,31374240,576,9231.200000000003
148,13531,14545800,22,483.80000000000007
149,12785,32070000,15,305.71
150,15759,13416420,7,253.04000000000002
151,15938,22566600,18,404.58000000000004
152,14082,786960,29,182.24999999999997
153,17897,17377020,115,541.1
154,14135,32152320,134,4690.31
155,15732,13931880,14,294.12
156,13029,29638020,10,1247.5
157,18069,30008340,472,2021.82
158,18008,26203860,30,2116.19
159,16552,11324280,17,379.73
160,16244,14003520,91,1522.7499999999995
161,12347,32081160,182,4310.0
162,17655,31374480,93,2571.7400000000002
163,14150,29209140,26,658.6400000000001
164,14309,31554420,123,2319.68
165,14653,32159940,237,1947.55
166,16424,15743640,6,82.56
167,12970,31644240,151,452.23999999999995
168,13270,628020,1,590.0
169,14987,30936780,4,326.4
170,12413,26526840,40,694.1500000000001
171,15607,3212280,13,104.76
172,14175,27839760,164,3108.0600000000004
173,17908,11940,58,243.2799999999999
174,17377,30250260,419,3925.92
175,15738,30672000,176,4788.769999999999
176,17552,28612080,51,909.96
177,18077,31554360,227,2633.0099999999998
178,13021,31911060,134,2584.3999999999996
179,18065,31802640,138,2380.08
180,12782,31884600,107,2273.32
181,13313,30356520,78,1555.32
182,13764,26192220,208,1521.76
183,15569,23334540,31,1375.7099999999998
184,14130,4693140,67,483.85999999999996
185,14395,32076480,353,3471.9100000000008
186,15602,31556880,54,1083.63
187,17676,31906200,79,1383.27
188,16752,100320,9,207.5
189,15005,30945540,1160,6180.490000000001
190,15503,959460,70,147.09000000000003
191,16892,32158320,101,496.8399999999999
192,17802,25165800,147,1251.8400000000006
193,12971,31982040,308,10930.26
194,12647,30342600,128,3669.9199999999996
195,16422,30778440,399,33805.689999999995
196,14479,10370460,18,316.25
197,17692,21274500,47,733.44
198,14669,11416620,170,1269.9899999999998
199,14680,30097980,320,26932.34
200,14739,32076360,61,3899.1000000000004
201,13329,29556180,19,740.3999999999999
202,13327,28950900,109,3617.5700000000006
203,17990,11848680,29,630.8400000000001
204,17189,23109180,61,384.4
205,16771,29394120,255,2246.8100000000004
206,15910,32235900,267,1232.1800000000003
207,13255,31977000,14,390.65999999999997
208,14409,26128320,55,1908.2499999999998
209,16365,30769080,51,1540.42
210,15159,32153940,720,18573.680000000004
211,15312,25764240,48,921.1000000000001
212,14662,29821620,168,771.1700000000003
213,12738,122460,11,155.35
214,15880,362580,106,313.28
215,13599,32180400,264,5030.599999999999
216,15945,708480,2,181.0
217,13473,27053640,22,417.54
218,12523,32152800,110,1745.5700000000002
219,12924,24643740,31,929.95
220,15039,31460700,1508,19786.439999999995
221,17041,29991300,71,1065.77
222,15615,31385760,429,10360.039999999999
223,15160,1403340,4,158.16000000000003
224,14849,30421920,392,7904.280000000001
225,15808,5810820,210,3724.770000000001
226,13094,30433260,30,1708.8600000000001
227,15101,31542720,9,310.03
228,12666,1232160,2,-227.44
229,17064,27222720,62,859.35
230,16186,30341820,219,3991.9399999999996
231,16754,119520,2,2002.4
232,13506,5295660,29,452.82000000000005
233,13369,1661760,19,263.75000000000006
234,14401,31899840,183,4039.9800000000005
235,16145,31543620,237,3741.98
236,18260,17381460,140,2595.000000000001
237,17593,31975440,215,3911.5599999999995
238,15658,15836160,56,958.9000000000002
239,17228,30938280,208,1906.0899999999995
240,15894,10387440,41,263.54999999999995
241,14907,31988880,168,3478.8500000000004
242,17097,32085540,213,937.9200000000001
243,14290,31296960,103,2307.4500000000003
244,17025,27045600,9,357.77
245,15394,31461780,85,2183.54
246,14329,31536060,269,4928.740000000001
247,14976,27331860,73,765.8600000000001
248,14237,17640,9,161.00000000000003
249,12433,32232960,420,13375.87
250,12395,30945240,159,2998.2800000000007
251,17860,447300,58,252.79999999999998
252,17706,31900080,395,10097.369999999999
253,13240,23953320,67,663.6499999999999
254,17696,28963020,126,2201.05
255,14185,3648360,3,197.65
256,17572,26126820,12,226.75
257,15601,31301340,414,6745.359999999999
258,14449,30685200,258,907.0999999999998
259,16710,30608640,402,2483.04
260,17857,31986900,56,26763.340000000004
261,15797,22495080,8,2207.4
262,14496,5358900,19,538.81
263,13090,31551180,161,8689.390000000003
264,14565,24034260,129,3073.7700000000004
265,14643,17561700,34,668.6100000000001
266,12480,29831160,154,3281.6300000000006
267,16730,27755100,84,702.79
268,16767,29639760,222,5580.600000000001
269,18144,31638000,43,2888.75
270,15392,31890900,85,1515.73
271,16316,26716920,156,2755.5600000000004
272,18055,31643940,363,6752.140000000002
273,15854,31900380,140,2974.6499999999996
274,15527,30685860,166,2348.82
275,12682,31973640,525,12288.219999999998
276,15192,21957300,51,1044.32
277,17611,31972800,582,3947.87
278,16954,32232000,54,2085.08
279,13092,26189520,26,459.83
280,13368,10114380,29,623.4
281,13815,30347580,177,4014.9100000000008
282,17082,29400660,81,2003.85
283,15513,29577300,314,14520.080000000005
284,17735,32084460,690,13110.020000000002
285,17870,32078460,280,1889.3999999999996
286,15279,1650120,21,277.40999999999997
287,17618,31807440,78,971.5799999999999
288,15204,1401780,9,316.58000000000004
289,17849,13411200,26,605.8
290,17365,31204020,468,4801.56
291,14770,12203700,52,876.4200000000001
292,12854,25501740,115,1289.1499999999999
293,15291,30076560,109,4596.51
294,12649,23004900,33,603.71
295,12989,31993320,68,6854.51
296,12691,29838180,32,1035.8
297,13859,4088880,28,201.16
298,14368,4670760,8,155.00000000000003
299,14341,28365720,130,2166.38
300,13754,19193100,12,282.6
301,15752,28869060,412,2628.93
302,16931,31812540,898,4604.220000000002
303,18061,30423240,46,2119.41
304,14961,31367760,317,7006.58
305,16470,27834300,171,757.4400000000002
306,12652,4437300,51,914.5299999999997
307,14978,26023260,216,1931.4199999999996
308,16222,4770720,137,846.7200000000007
309,15827,25945740,134,1641.48
310,14215,31290780,109,1777.9200000000005
311,16907,29756280,151,981.65
312,13000,23077020,31,534.85
313,16556,26536200,207,3313.7899999999995
314,16805,17290620,98,460.5899999999999
315,15460,1669320,58,216.76
316,17707,16267020,5,152.4
317,15339,26540700,88,557.57
318,14248,4774740,8,302.58
319,13145,28873140,7,614.77
320,14201,27061260,39,688.04
321,16743,29738820,193,2191.8399999999997
322,15780,16428900,29,475.28
323,14113,31981920,40,1377.92
324,18125,29736180,197,1141.3399999999997
325,17809,30861240,64,4627.619999999999
326,17643,22320,8,101.55000000000001
327,17460,25497120,37,452.63
328,12712,30329340,142,4241.63
329,17238,32065740,566,3744.6499999999996
330,15889,18758640,93,446.8699999999999
331,12826,32061540,94,1468.1200000000001
332,13593,22914540,129,1990.2800000000002
333,13162,21713580,82,1644.9899999999998
334,14784,29999040,15,289.99
335,14970,26371080,34,1592.06
336,16770,27316500,146,744.9000000000001
337,17059,29736060,516,3095.04
338,14866,31375140,103,14197.45
339,17194,8653140,29,262.62
340,16134,30418740,38,603.69
341,12585,12028380,97,1982.81
342,12500,30268440,65,4206.2699999999995
343,15171,4248780,7,1034.5
344,17730,31994220,220,5288.83
345,15812,23003580,41,1801.1400000000003
346,13113,32242980,280,10510.000000000002
347,16367,29047620,130,804.4899999999998
348,17044,31537680,10,897.43
349,15482,30939600,127,6568.719999999999
350,17913,27224340,59,411.59999999999997
351,13104,31985040,20,1098.48
352,14224,22741080,118,1050.12
353,13405,25864500,27,572.451
354,14045,22834860,6,1659.75
355,15240,28430640,83,1685.5700000000002
356,13238,31302240,32,680.8300000000002
357,17239,5274900,16,379.95000000000005
358,18226,28949460,245,5192.099999999999
359,17368,30265200,128,1349.5200000000002
360,13656,18065100,49,379.6500000000001
361,12672,3804840,10,225.9
362,15640,31903740,495,12433.340000000004
363,14085,32073600,451,4435.790000000001
364,17191,29838720,237,2095.13
365,15179,30688020,95,2186.2000000000003
366,16083,23595660,31,1317.6200000000001
367,13627,27150840,94,1624.02
368,15038,28534560,133,665.5899999999997
369,17965,29034300,329,2622.5699999999997
370,17526,32178600,23,706.7000000000002
371,17338,30779820,757,6612.180000000001
372,15222,4750620,5,585.0
373,15967,30266100,84,418.83000000000004
374,16916,30253320,143,576.2599999999999
375,15953,30956760,103,1634.5299999999997
376,12494,31452900,84,1139.3500000000001
377,13317,26736900,135,2140.0699999999997
378,17343,1579260,17,193.63999999999996
379,16094,31292340,67,1041.83
380,15497,30770700,16,1259.7
381,16124,4952340,16,187.15000000000003
382,17924,32180520,38,2894.33
383,16042,30360240,75,1147.37
384,15823,3126720,17,-840.7600000000001
385,12841,31891620,439,3876.4000000000005
386,13652,28340700,63,1095.08
387,14733,31472880,216,9451.54
388,14176,6583560,32,574.0
389,17076,29150820,25,841.0799999999999
390,14220,10904220,21,632.4000000000001
391,13069,32227980,470,3717.8199999999997
392,14243,31545960,148,2535.8800000000006
393,14560,31647360,76,2174.1800000000003
394,13817,29755380,24,382.98
395,14572,31990440,273,2803.69
396,14782,4675560,6,200.10000000000002
397,17069,29839620,154,2655.2200000000003
398,14156,31458480,1420,113384.14000000004
399,16353,31982220,94,6675.710000000001
400,17026,16264920,4,154.82999999999998
401,14189,32081340,277,4604.31
402,14821,605820,2,48.800000000000004
403,16863,29746620,28,481.35
404,17722,23957760,120,2380.64
405,14414,24378180,98,1485.13
406,12515,1754220,16,383.7
407,17400,21366720,213,2129.959999999999
408,13158,24118320,79,1201.06
409,16905,31815300,209,3085.4799999999996
410,15713,19890480,20,346.75
411,15749,11940840,15,21535.9
412,17905,26125620,34,800.24
413,17287,29998860,124,1064.11
414,14256,10311180,54,935.06
415,16670,30848880,262,4022.460000000001
416,13004,31287660,409,5613.43
417,17800,29046660,104,1199.01
418,14047,31547820,34,1290.0100000000002
419,15916,30864000,160,1491.2399999999998
420,17418,28614840,30,463.46000000000004
421,13831,30870900,74,2202.99
422,13034,27575700,37,642.7700000000001
423,15024,31462800,155,1661.3299999999997
424,14744,30860700,28,1088.53
425,14298,31991880,1640,50862.43999999999
426,16899,31635420,125,1281.56
427,13874,1331640,18,540.45
428,17389,32231520,224,31300.079999999998
429,13310,31535820,77,1083.63
430,17951,28872240,21,990.8400000000001
431,14573,16771740,241,1603.7199999999996
432,18219,32066220,115,2019.77
433,15973,11927580,6,99.77
434,14037,17040660,28,147.20000000000005
435,16923,31206840,696,6666.830000000002
436,14841,27671820,138,3295.7599999999998
437,15070,97020,1,106.2
438,12600,29815380,65,2581.04
439,17320,23605500,73,1200.62
440,17188,31296420,89,2275.5800000000004
441,13008,4341480,15,178.47
442,14777,31899240,3,-17.45
443,16912,30266700,105,2528.6699999999996
444,16757,4764780,7,106.83
445,16955,16337400,26,493.67
446,12947,19878000,103,1407.29
447,16638,30336180,95,1676.4700000000003
448,13115,31540380,132,2205.63
449,14030,30702120,243,2360.0899999999997
450,18176,1742820,33,448.65
451,16686,28185780,588,3043.4799999999996
452,12489,3214020,15,334.92999999999995
453,16655,30769140,261,3794.5200000000004
454,16359,31653480,70,1460.3700000000001
455,12431,29215740,240,6416.389999999999
456,14696,31900620,133,2070.97
457,17259,19463700,124,603.37
458,17450,31554180,351,187482.16999999998
459,16950,27391200,42,1178.56
460,16558,32234040,474,8257.039999999997
461,17752,1237980,1,80.64
462,13629,30257700,59,7792.360000000001
463,15611,31464600,45,1568.3900000000003
464,17114,31809060,135,747.22
465,16850,3465780,19,332.40999999999997
466,12527,25241340,18,348.71000000000004
467,17504,14445180,140,2745.2800000000007
468,13396,30417360,47,1325.2899999999997
469,13777,32241540,219,25748.350000000002
470,17690,29659860,258,4748.450000000001
471,16996,29665020,41,1427.4599999999998
472,15841,26733900,50,1209.1
473,15626,25839420,49,675.8
474,17018,28782960,16,920.1
475,16203,27230700,36,589.15
476,17827,31818840,220,1995.4600000000005
477,14426,30684060,264,3918.9000000000005
478,15456,7795500,60,447.22
479,18097,31632600,109,2692.8500000000004
480,14911,32167680,5903,132572.62000000005
481,14589,184560,3,39.75
482,17591,25938960,167,2215.0200000000004
483,13984,29995920,17,488.03000000000003
484,16795,711720,66,414.88000000000005
485,13534,32077560,342,5613.079999999998
486,14472,23337300,281,1936.84
487,14462,26787360,246,1965.8999999999999
488,17796,28797120,82,697.9
489,15262,4333800,10,178.95000000000002
490,13576,31388880,130,6703.3
491,15384,17634660,43,635.7599999999998
492,16898,30007080,163,444.4600000000002
493,13140,22921620,46,423.72
494,16875,26736840,123,2023.4699999999998
495,12503,3122700,1,-1126.0
496,12356,30327240,59,2811.4300000000003
497,13901,26029320,149,2867.2000000000003
498,14344,21273900,71,889.93
499,17223,5470260,49,426.78999999999996
500,12735,5029860,43,779.5699999999998
501,13233,25851540,43,605.12
502,15673,24651960,155,2881.0200000000004
503,13011,118560,3,50.550000000000004
504,13155,29402100,85,971.76
505,12441,613140,11,173.55
506,15514,31212840,218,2963.1900000000005
507,12530,27144480,68,1623.63
508,15395,4162440,7,107.45000000000002
509,15820,4678440,17,206.98000000000002
510,16411,30603420,45,214.65
511,17576,31571160,417,3457.7799999999997
512,17293,31558260,135,1875.1099999999997
513,16153,28002240,89,1824.23
514,17180,27415200,131,780.38
515,13093,9190200,170,7741.469999999998
516,16546,7181640,31,-95.92999999999995
517,17402,31888140,59,2633.8500000000004
518,13963,5638620,35,664.5399999999998
519,13078,32178120,380,12432.279999999999
520,16553,18170160,86,5664.570000000001
521,13211,31385820,56,1197.42
522,17674,25852140,27,551.0400000000001
523,17341,18763620,183,781.3599999999999
524,12963,31552140,96,1841.0299999999997
525,13614,30176460,201,1610.46
526,17673,32157600,228,1622.22
527,14233,28515540,36,1447.5100000000002
528,13098,32161680,605,28658.879999999997
529,13564,19807740,85,647.7400000000006
530,18043,30169320,121,559.51
531,15562,1906140,1,134.55
532,14916,26182440,79,1264.84
533,18085,3739860,29,689.95
534,17841,32154060,7983,40340.77999999991
535,15465,30591900,104,6945.02
536,15048,26634540,98,380.57000000000005
537,16525,32078460,200,11895.570000000002
538,12875,19897440,2,343.2300000000001
539,14491,17132160,17,340.93
540,16725,6164760,152,775.0699999999997
541,16122,25945680,38,684.4200000000001
542,12721,29562420,164,2628.98
543,17799,30351000,410,3026.0799999999995
544,12484,29473860,350,4495.27
545,13385,3806760,35,534.5700000000002
546,17861,31996500,223,2059.2000000000007
547,15581,21863520,151,3429.9700000000003
548,17702,29662620,80,1719.7199999999998
549,15664,27916260,19,358.63
550,14321,31368060,123,1530.75
551,13284,4413540,14,196.15
552,13001,31904700,342,9797.919999999996
553,17511,32060760,1076,88125.38
554,17873,25344900,46,1764.3600000000001
555,17925,92640,1,244.08
556,12586,30787080,12,179.94
557,13458,31647780,394,9537.919999999998
558,15213,4766340,25,325.04999999999995
559,14307,24628320,180,2995.72
560,13468,32148780,306,5656.749999999999
561,15955,30174540,185,4389.81
562,14180,31372200,248,4640.77
563,12829,4422600,12,253.05
564,12668,31646640,168,3743.1800000000003
565,17644,32159820,169,2768.9800000000005
566,15443,32148840,385,3212.1599999999994
567,14527,32068380,1011,7711.380000000006
568,15694,32231880,79,6423.6
569,17227,30680700,47,939.32
570,13523,29400300,177,3755.38
571,17339,24123780,9,243.36
572,15563,31540200,117,1319.6900000000003
573,15370,28780320,95,2360.55
574,14390,31382580,291,4592.47
575,13013,32164500,222,4786.990000000002
576,14396,26638980,73,487.98999999999995
577,15898,32165820,87,1384.6800000000003
578,14867,16254780,37,701.3299999999999
579,12870,626460,2,-14.899999999999999
580,13124,24553140,235,3866.330000000001
581,16985,30776820,121,5461.62
582,17811,31900800,872,7677.710000000001
583,14242,12021600,16,280.54999999999995
584,15922,103140,12,363.6000000000001
585,17198,30247980,96,692.22
586,15221,621720,11,114.10000000000001
587,16473,18060240,19,314.86
588,17786,24899100,72,278.74
589,15363,11431320,17,318.05
590,15093,30688980,112,4410.139999999999
591,18193,19276200,18,212.96000000000006
592,17820,15749280,5,-24.05
593,13693,4172220,4,-32.0
594,17862,4334220,11,330.9
595,18277,27240960,9,97.63
596,16496,31543500,97,1562.2199999999998
597,16274,25740,67,357.94999999999993
598,12793,3383160,24,545.48
599,12753,31979640,230,21024.010000000002
600,17236,31203240,105,916.1299999999999
601,14040,28786560,241,3542.19
602,15260,23606940,78,1780.77
603,17430,29465880,14,265.76
604,15535,17307360,78,459.8999999999999
605,16019,32146800,165,3450.2400000000007
606,16927,22301040,6,543.05
607,17457,21356520,19,1737.7
608,16326,31801500,320,3085.96
609,16493,26016420,62,1329.6599999999999
610,12510,19964940,33,982.57
611,17118,4852380,10,157.02
612,17181,27325320,23,239.92
613,12471,32080620,531,18740.920000000002
614,15919,30596520,143,639.8899999999999
615,12474,30780780,457,7116.470000000001
616,15078,31648500,451,9623.349999999997
617,13842,27224700,206,3385.6200000000003
618,14608,31911960,20,1785.15
619,17890,4416780,94,602.0900000000005
620,15366,25770900,44,602.5100000000001
621,13253,18754980,36,1030.4
622,17017,32058360,268,8574.109999999999
623,17235,30093900,29,550.06
624,17787,19105080,134,1865.1899999999996
625,14016,18943260,162,4328.46
626,12423,32233440,126,1849.1100000000004
627,16567,15485460,35,865.5999999999999
628,15227,29129580,58,1219.3999999999999
629,17967,183180,48,123.07000000000002
630,17819,26101560,49,3661.07
631,16722,30776520,228,4711.21
632,18119,531180,30,181.11999999999998
633,15858,30946920,191,1438.8500000000001
634,14796,32166300,1165,7839.510000000001
635,15032,10134240,55,4464.0999999999985
636,12734,1830060,4,110.39999999999999
637,17095,30356040,77,1088.1999999999998
638,14442,32153220,68,1544.6200000000001
639,17346,31981920,503,2611.579999999999
640,16634,13059780,9,217.9
641,16891,32150940,203,809.6999999999998
642,15727,30859800,302,5178.96
643,15346,3552720,17,252.42000000000004
644,13168,29133000,133,1310.1399999999999
645,12997,30352860,67,1197.9399999999998
646,14576,120300,1,35.400000000000006
647,16983,31203840,149,1920.1999999999998
648,17442,29744880,140,2210.2599999999998
649,16270,1749600,54,1141.2399999999996
650,14221,28617360,194,3427.8500000000004
651,16593,27922500,27,330.03
652,17609,28785720,238,1103.9199999999996
653,14534,32068380,558,4075.3500000000004
654,15525,32080380,180,811.0199999999999
655,15882,15131340,24,495.3599999999999
656,14543,31975560,107,2916.17
657,17889,13939200,21,203.87
658,18102,32239440,433,256438.48999999993
659,17530,32177760,394,2384.999999999999
660,14373,1322040,4,76.55
661,14769,32061480,1094,10641.599999999997
662,16782,31380840,197,2242.2499999999995
663,13969,31646700,633,8986.69
664,16531,30355380,77,1244.59
665,17146,23170680,35,749.7800000000001
666,13527,29389080,224,2263.7599999999998
667,18212,4088880,43,248.41999999999993
668,13117,30425760,76,984.9099999999997
669,15646,18667620,36,425.14
670,17396,28878360,27,7330.8
671,16500,31894680,11,400.86
672,17007,27915660,53,877.4300000000001
673,14146,31542720,245,2949.5700000000006
674,12820,31992360,59,942.34
675,12468,19890960,40,724.04
676,14060,31896180,203,6135.379999999999
677,14723,31388220,278,1158.2999999999993
678,17812,31202460,141,732.1599999999999
679,15021,31548420,479,1872.2799999999993
680,16904,31898640,710,3754.2699999999995
681,14913,29203380,87,1227.43
682,17315,32239920,487,6204.460000000001
683,17850,6156720,312,5288.630000000009
684,17567,31648920,177,4012.5600000000004
685,18109,32152200,454,7925.320000000001
686,13324,29489100,77,7072.799999999999
687,15518,26714340,220,1911.8900000000003
688,12451,31364040,355,8933.519999999999
689,16583,13020,14,233.45000000000002
690,14775,27241260,60,1011.9000000000001
691,18071,10035180,25,453.0
692,14107,27834360,124,2688.48
693,12578,30431040,120,2753.359999999999
694,12524,31475100,144,4485.72
695,14541,27222120,111,1461.6499999999999
696,12855,90660,3,38.1
697,14679,178860,1,-2.55
698,16579,714840,1,-30.599999999999998
699,18044,31903200,128,2085.65
700,12415,30174960,778,123725.44999999998
701,12490,31822860,245,5417.930000000001
702,15061,31981200,410,54228.740000000005
703,17524,1058760,6,145.0
704,12877,31975440,154,1535.77
705,12736,3540660,4,234.00000000000003
706,18190,15661320,16,274.51
707,17964,29557080,104,471.70000000000005
708,17307,716280,1,-152.64000000000001
709,17372,28782660,253,1342.6800000000003
710,15296,28454820,200,3610.3099999999995
711,17920,31903380,696,4204.099999999999
712,12662,32239980,232,3817.08
713,12915,19451280,22,363.65
714,16150,28947780,136,1906.0700000000002
715,13370,631860,44,721.3200000000003
716,16402,9431940,60,299.5999999999999
717,17691,1328040,19,290.40000000000003
718,14062,31455480,111,10464.85
719,12865,30002700,96,1548.0699999999995
720,15062,26123100,57,987.8599999999999
721,16945,30424380,249,4345.499999999999
722,14616,11323680,3,406.08000000000004
723,15860,28781940,142,977.2100000000002
724,17700,30857100,146,2508.89
725,16062,31463340,64,1153.6200000000001
726,16726,30004020,185,1382.02
727,17371,30776640,87,423.8899999999999
728,15379,17642820,196,3631.8900000000003
729,14889,3221580,10,135.9
730,14755,31460280,237,4965.380000000001
731,18095,5286240,21,580.05
732,15174,4408800,11,135.75
733,12791,10860,2,192.60000000000002
734,16143,31988820,118,2419.84
735,15304,27050220,26,680.3
736,16861,27131940,8,151.65
737,17675,32175420,721,20098.100000000006
738,16016,31990140,237,1483.3099999999997
739,16607,30765480,174,3038.67
740,14985,15141780,87,296.74999999999994
741,16565,802500,3,173.7
742,13748,24023940,28,948.2499999999999
743,13199,31982640,120,9803.96
744,16233,26125260,25,422.13
745,13455,30164100,53,1007.3499999999999
746,17629,31804200,124,1784.12
747,14292,31634640,108,4819.33
748,13659,15247800,108,1550.85
749,15356,29565900,519,2766.4999999999995
750,17978,711540,12,300.91999999999996
751,15587,27925860,9,913.6800000000001
752,14229,27826680,43,1450.6
753,14270,3632820,29,492.6499999999999
754,16218,29727180,90,3054.87
755,16455,26797860,99,1841.1799999999996
756,15570,31645260,330,4109.97
757,15018,28959660,32,456.26
758,16499,1148040,22,319.1
759,16727,796920,46,272.81999999999994
760,13183,31629840,94,3957.78
761,12951,31549680,65,1042.0700000000002
762,14741,31278120,59,1400.34
763,18156,31204680,140,734.9399999999998
764,14205,31375800,39,218.78
765,15805,30269160,307,5452.170000000001
766,17454,15658320,61,517.5300000000001
767,15620,27946260,104,1524.3999999999996
768,12346,4153860,2,0.0
769,12557,30875580,33,11990.960000000001
770,17068,31207680,297,4531.339999999999
771,17616,17286300,3,571.2
772,14441,32229660,59,1545.14
773,16656,30349020,80,8568.24
774,14735,31981380,205,5807.69
775,17062,5193300,71,534.4699999999999
776,14850,5367300,22,278.15
777,16163,12827820,7,441.6
778,15881,5301180,32,438.24
779,14057,30247560,291,6147.4
780,16293,31538820,120,2236.74
781,14051,32234040,215,15477.34
782,15361,1041960,7,418.9200000000001
783,16191,32065200,151,4913.32
784,15510,3728640,1,250.0
785,17968,14220,85,277.34999999999997
786,15028,31556400,48,627.1299999999999
787,14673,31989900,74,1736.3999999999999
788,14415,32163120,612,5811.5599999999995
789,17358,6078660,59,365.84999999999997
790,13862,30700680,142,2187.3099999999995
